iter	Passed	Remaining
441	1237	1561
442	1238	1557
443	1241	1554
444	1243	1551
445	1249	1552
446	1255	1552
447	1258	1550
448	1261	1547
449	1264	1545
450	1268	1543
451	1269	1539
452	1272	1536
453	1275	1533
454	1277	1530
455	1279	1526
456	1281	1522
457	1282	1517
458	1284	1513
459	1287	1511
460	1292	1510
461	1294	1507
462	1296	1503
463	1300	1501
464	1302	1498
465	1306	1497
466	1308	1493
467	1311	1490
468	1312	1486
469	1314	1481
470	1317	1479
471	1320	1477
472	1322	1473
473	1326	1471
474	1329	1468
475	1332	1467
476	1335	1464
477	1338	1462
478	1340	1458
479	1344	1456
480	1346	1452
481	1348	1449
482	1352	1448
483	1355	1445
484	1359	1443
485	1361	1440
486	1364	1437
487	1367	1434
488	1368	1430
489	1370	1426
490	1374	1425
491	1377	1422
492	1380	1419
493	1382	1416
494	1393	1421
495	1397	1420
496	1400	1417
497	1404	1415
498	1407	1413
499	1410	1410
500	1423	1418
501	1428	1416
502	1431	1414
503	1433	1410
504	1436	1407
505	1437	1403
506	1440	1400
507	1442	1397
508	1445	1393
509	1446	1390
510	1450	1387
511	1452	1384
512	1454	1380
513	1456	1376
514	1457	1373
515	1459	1369
516	1461	1365
517	1463	1361
518	1465	1357
519	1467	1354
520	1468	1350
521	1470	1346
522	1471	1342
523	1472	1337
524	1477	1336
525	1479	1333
526	1481	1329
527	1482	1325
528	1483	1321
529	1485	1317
530	1486	1313
531	1488	1309
532	1489	1305
533	1492	1302
534	1494	1298
535	1495	1294
536	1497	1290
537	1498	1286
538	1499	1282
539	1501	1278
540	1502	1274
541	1503	1270
542	1506	1267
543	1507	1263
544	1510	1260
545	1511	1256
546	1513	1253
547	1514	1249
548	1516	1245
549	1517	1241
550	1518	1237
551	1520	1234
552	1522	1230
553	1523	1226
554	1524	1222
555	1526	1218
556	1527	1214
557	1529	1211
558	1530	1207
559	1531	1203
560	1533	1199
561	1534	1196
562	1536	1192
563	1538	1189
564	1539	1185
565	1540	1181
566	1542	1177
567	1543	1174
568	1545	1170
569	1546	1166
570	1547	1162
571	1549	1159
572	1551	1155
573	1552	1152
574	1553	1148
575	1555	1144
576	1556	1141
577	1557	1137
578	1559	1133
579	1560	1130
580	1562	1126
581	1563	1123
582	1565	1119
583	1566	1115
584	1568	1112
585	1569	1109
586	1571	1105
587	1572	1101
588	1573	1098
589	1574	1094
590	1576	1090
591	1577	1087
592	1579	1083
593	1580	1080
594	1582	1077
595	1583	1073
596	1585	1070
597	1586	1066
598	1588	1063
599	1589	1059
600	1591	1056
601	1592	1052
602	1593	1049
603	1595	1046
604	1597	1043
605	1599	1039
606	1600	1036
607	1602	1032
608	1603	1029
609	1604	1026
610	1605	1022
611	1607	1019
612	1609	1015
613	1610	1012
614	1612	1009
615	1613	1006
616	1615	1002
617	1616	999
618	1618	996
619	1619	992
620	1620	989
621	1622	985
622	1624	982
623	1625	979
624	1627	976
625	1628	973
626	1630	969
627	1631	966
628	1633	963
629	1634	960
630	1636	956
631	1639	954
632	1641	951
633	1642	948
634	1644	945
635	1645	941
636	1646	938
637	1647	935
638	1649	931
639	1650	928
640	1652	925
641	1653	922
642	1655	919
643	1656	915
644	1658	912
645	1659	909
646	1661	906
647	1662	903
648	1663	899
649	1665	896
650	1666	893
651	1667	890
652	1669	887
653	1670	883
654	1672	880
655	1673	877
656	1674	874
657	1676	871
658	1677	868
659	1678	864
660	1680	861
661	1681	858
662	1683	855
663	1684	852
664	1686	849
665	1687	846
666	1689	843
667	1690	840
668	1692	837
669	1693	834
670	1694	831
671	1696	827
672	1697	824
673	1699	822
674	1700	818
675	1702	815
676	1703	812
677	1704	809
678	1706	806
679	1707	803
680	1708	800
681	1710	797
682	1712	794
683	1713	791
684	1715	788
685	1717	785
686	1718	783
687	1720	780
688	1721	776
689	1722	774
690	1724	771
691	1725	768
692	1726	765
693	1728	762
694	1730	759
695	1731	756
696	1733	753
697	1734	750
698	1736	747
699	1737	744
700	1738	741
701	1740	738
702	1741	735
703	1743	732
704	1744	730
705	1746	727
706	1747	724
707	1749	721
708	1750	718
709	1752	715
710	1753	712
711	1754	709
712	1756	706
713	1757	704
714	1759	701
715	1760	698
716	1762	695
717	1763	692
718	1764	689
719	1766	686
720	1767	683
721	1769	681
722	1770	678
723	1771	675
724	1773	672
725	1775	670
726	1776	667
727	1778	664
728	1779	661
729	1781	658
730	1782	656
731	1784	653
732	1785	650
733	1786	647
734	1788	644
735	1789	642
736	1791	639
737	1792	636
738	1794	633
739	1795	630
740	1796	627
741	1798	625
742	1799	622
743	1800	619
744	1802	616
745	1803	614
746	1805	611
747	1807	608
748	1808	606
749	1809	603
750	1811	600
751	1812	597
752	1814	595
753	1820	594
754	1822	591
755	1823	588
756	1824	585
757	1826	583
758	1827	580
759	1829	577
760	1830	574
761	1831	572
762	1833	569
763	1835	567
764	1837	564
765	1838	561
766	1840	559
767	1841	556
768	1843	553
769	1844	550
770	1845	548
771	1847	545
772	1849	542
773	1850	540
774	1851	537
775	1853	534
776	1854	532
777	1855	529
778	1857	526
779	1858	524
780	1859	521
781	1861	518
782	1863	516
783	1864	513
784	1866	511
785	1867	508
786	1869	505
787	1870	503
788	1871	500
789	1872	497
790	1874	495
791	1876	492
792	1877	490
793	1879	487
794	1880	484
795	1882	482
796	1883	479
797	1884	477
798	1886	474
799	1887	471
800	1889	469
801	1890	466
802	1891	464
803	1893	461
804	1895	459
805	1897	456
806	1898	454
807	1899	451
808	1901	448
809	1902	446
810	1904	443
811	1905	441
812	1906	438
813	1908	436
814	1910	433
815	1911	431
816	1913	428
817	1914	425
818	1915	423
819	1917	420
820	1918	418
821	1919	415
822	1921	413
823	1922	410
824	1924	408
825	1926	405
826	1927	403
827	1928	400
828	1930	398
829	1931	395
830	1932	393
831	1934	390
832	1935	388
833	1936	385
834	1938	383
835	1940	380
836	1941	378
837	1942	375
838	1944	373
839	1945	370
840	1946	368
841	1948	365
842	1949	363
843	1950	360
844	1952	358
845	1954	355
846	1956	353
847	1957	350
848	1959	348
849	1960	345
850	1961	343
851	1963	341
852	1964	338
853	1965	336
854	1967	333
855	1968	331
856	1970	328
857	1971	326
858	1972	323
859	1974	321
860	1975	318
861	1976	316
862	1978	314
863	1979	311
864	1980	309
865	1982	306
866	1984	304
867	1986	302
868	1987	299
869	1988	297
870	1990	294
871	1991	292
872	1993	289
873	1994	287
874	1996	285
875	1998	282
876	2000	280
877	2001	278
878	2003	275
879	2004	273
880	2005	270
881	2006	268
882	2008	266
883	2010	263
884	2011	261
885	2013	259
886	2015	256
887	2017	254
888	2018	252
889	2019	249
890	2021	247
891	2022	244
892	2023	242
893	2025	240
894	2026	237
895	2027	235
896	2029	233
897	2030	230
898	2031	228
899	2033	225
900	2034	223
901	2036	221
902	2037	218
903	2038	216
904	2040	214
905	2041	211
906	2043	209
907	2045	207
908	2046	204
909	2048	202
910	2049	200
911	2051	197
912	2052	195
913	2053	193
914	2057	191
915	2061	189
916	2063	186
917	2064	184
918	2065	182
919	2067	179
920	2069	177
921	2070	175
922	2072	172
923	2074	170
924	2076	168
925	2077	166
926	2078	163
927	2080	161
928	2081	159
929	2082	156
930	2084	154
931	2085	152
932	2087	149
933	2089	147
934	2090	145
935	2092	143
936	2093	140
937	2094	138
938	2096	136
939	2097	133
940	2099	131
941	2100	129
942	2103	127
943	2104	124
944	2106	122
945	2107	120
946	2109	118
947	2110	115
948	2112	113
949	2113	111
950	2114	108
951	2116	106
952	2117	104
953	2119	102
954	2120	99
955	2122	97
956	2123	95
957	2124	93
958	2126	90
959	2127	88
960	2129	86
961	2130	84
962	2132	81
963	2133	79
964	2134	77
965	2136	75
966	2137	72
967	2139	70
968	2141	68
969	2142	66
970	2143	64
971	2145	61
972	2146	59
973	2148	57
974	2150	55
975	2151	52
976	2153	50
977	2154	48
978	2155	46
979	2157	44
980	2158	41
981	2160	39
982	2161	37
983	2163	35
984	2164	32
985	2166	30
986	2167	28
987	2168	26
988	2170	24
989	2171	21
990	2172	19
991	2174	17
992	2175	15
993	2177	13
994	2178	10
995	2180	8
996	2181	6
997	2183	4
998	2184	2
999	2185	0
